frame,region,vehicles
0,Top-Right,1
1,Top-Right,1
2,Top-Right,1
3,Top-Right,1
4,Top-Right,1
5,Top-Right,1
6,Top-Right,1
7,Top-Right,1
8,Top-Right,1
9,Top-Right,1
10,Top-Right,1
11,Top-Right,1
12,Top-Right,1
13,Top-Right,1
14,Top-Right,1
15,Top-Right,1
16,Top-Right,1
17,Top-Right,1
18,Top-Right,1
19,Top-Right,1
20,Top-Right,1
21,Top-Right,1
22,Top-Right,1
23,Top-Right,1
24,Top-Right,1
25,Top-Right,1
26,Top-Right,1
27,Bottom-Right,1
28,Bottom-Right,1
29,Bottom-Right,1
30,Bottom-Right,1
31,Bottom-Right,1
32,Bottom-Right,1
33,Bottom-Right,1
34,Bottom-Right,1
35,Bottom-Right,1
36,Bottom-Right,1
68,Top-Right,1
69,Top-Right,1
70,Top-Right,1
71,Top-Right,1
72,Top-Right,1
73,Top-Right,1
74,Top-Right,1
75,Top-Right,1
76,Top-Right,1
77,Top-Right,1
78,Top-Right,1
79,Top-Right,1
80,Top-Right,1
81,Top-Right,1
82,Top-Right,1
83,Top-Right,1
84,Top-Right,1
85,Top-Right,1
86,Top-Right,1
87,Top-Right,1
88,Top-Right,1
89,Top-Right,1
90,Top-Right,1
91,Top-Right,1
92,Top-Right,1
93,Top-Right,1
94,Top-Right,1
95,Top-Right,1
96,Top-Right,1
97,Top-Right,1
98,Top-Right,1
99,Top-Right,1
100,Top-Right,1
101,Top-Right,1
102,Top-Right,1
103,Top-Right,1
104,Top-Right,1
105,Top-Right,1
106,Top-Right,1
107,Top-Right,1
108,Top-Right,1
109,Top-Right,1
110,Top-Right,1
111,Top-Right,1
112,Top-Right,1
113,Top-Right,1
114,Top-Left,1
114,Top-Right,1
115,Top-Left,1
115,Top-Right,1
116,Top-Left,1
116,Top-Right,1
117,Top-Left,1
117,Top-Right,1
118,Top-Left,1
118,Top-Right,1
119,Top-Left,1
120,Top-Left,1
120,Top-Right,1
121,Top-Left,1
121,Top-Right,1
122,Top-Left,1
122,Top-Right,1
123,Top-Left,1
123,Top-Right,1
124,Top-Left,1
124,Top-Right,1
125,Top-Left,1
125,Top-Right,1
126,Top-Left,1
126,Top-Right,2
127,Top-Left,1
127,Top-Right,2
128,Top-Left,1
128,Top-Right,2
129,Top-Left,1
129,Top-Right,2
130,Top-Left,1
