frame,region,vehicles
0,Top-Right,1.0
1,Top-Right,1.0
2,Top-Right,1.0
3,Top-Right,1.0
4,Top-Right,1.0
5,Top-Right,1.0
6,Top-Right,1.0
7,Top-Right,1.0
8,Top-Right,1.0
9,Top-Right,1.0
10,Top-Right,1.0
11,Top-Right,1.0
12,Top-Right,1.0
13,Top-Right,1.0
14,Top-Right,1.0
15,Top-Right,1.0
16,Top-Right,1.0
17,Top-Right,1.0
18,Top-Right,1.0
19,Top-Right,1.0
20,Top-Right,1.0
21,Top-Right,1.0
22,Top-Right,1.0
23,Top-Right,1.0
24,Top-Right,1.0
25,Top-Right,1.0
26,Top-Right,1.0
27,Bottom-Right,1.0
28,Bottom-Right,1.0
29,Bottom-Right,1.0
30,Bottom-Right,1.0
31,Bottom-Right,1.0
32,Bottom-Right,1.0
33,Bottom-Right,1.0
34,Bottom-Right,1.0
35,Bottom-Right,1.0
36,Bottom-Right,1.0
68,Top-Right,1.0
69,Top-Right,1.0
70,Top-Right,1.0
71,Top-Right,1.0
72,Top-Right,1.0
73,Top-Right,1.0
74,Top-Right,1.0
75,Top-Right,1.0
76,Top-Right,1.0
77,Top-Right,1.0
78,Top-Right,1.0
79,Top-Right,1.0
80,Top-Right,1.0
81,Top-Right,1.0
82,Top-Right,1.0
83,Top-Right,1.0
84,Top-Right,1.0
85,Top-Right,1.0
86,Top-Right,1.0
87,Top-Right,1.0
88,Top-Right,1.0
89,Top-Right,1.0
90,Top-Right,1.0
91,Top-Right,1.0
92,Top-Right,1.0
93,Top-Right,1.0
94,Top-Right,1.0
95,Top-Right,1.0
96,Top-Right,1.0
97,Top-Right,1.0
98,Top-Right,1.0
99,Top-Right,1.0
100,Top-Right,1.0
101,Top-Right,1.0
102,Top-Right,1.0
103,Top-Right,1.0
104,Top-Right,1.0
105,Top-Right,1.0
106,Top-Right,1.0
107,Top-Right,1.0
108,Top-Right,1.0
109,Top-Right,1.0
110,Top-Right,1.0
111,Top-Right,1.0
112,Top-Right,1.0
113,Top-Right,1.0
114,Top-Left,1.0
115,Top-Left,1.0
116,Top-Left,1.0
117,Top-Left,1.0
118,Top-Left,1.0
119,Top-Left,1.0
120,Top-Left,1.0
121,Top-Left,1.0
122,Top-Left,1.0
123,Top-Left,1.0
124,Top-Left,1.0
